FID,time,profile,depth,segment,distance,start_latitude,start_longitude,start_time,bottom_depth,ctd_bottle_closure_time,ctd_pressure,ctd_depth,ctd_latitude,ctd_longitude,ctd_temperature_1,ctd_temperature_2,ctd_conductivity_1,ctd_conductivity_2,ctd_salinity_1,ctd_salinity_2,ctd_oxygen,ctd_oxygen_saturation,ctd_fluorescence,ctd_beam_attenuation,ctd_beam_transmission,ctd_ph,discrete_oxygen,discrete_chlorophyll,discrete_phaeopigment,discrete_fofa_ratio,discrete_phosphate,discrete_silicate,discrete_nitrate,discrete_nitrite,discrete_ammonium,discrete_salinity,discrete_dic,discrete_pco2,pco2_analysis_temp,calculated_alkalinity,calculated_ph,calculated_co2aq,calculated_bicarb,calculated_co3,calculated_omega_c,calculated_omega_a,geom,source,source_id
fffe2293-19ad-55f4-83dd-1e97b5854063.1,2017-07-27T23:37:00,16,220.391006,0,0,44.37405,-124.95625,2017-07-27T23:37:00,5000,2017-07-27T23:46:00,192.816,,,,7.3815,,3.453588,,33.7067,,,,,,,,,0.043,0.122,1.26,,,,,,33.994,,,,,,,,,,,POINT (-124.95625 44.37405),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.2,2017-07-27T23:37:00,16,220.391006,0,1.37,44.37406,-124.95624,2017-07-27T23:37:00,5000,2017-07-27T23:42:00,192.898,,,,7.3803,,3.444809,,33.6126,,,,,,,,,0.027,0.099,1.21,,,,,,33.996,,,,,,,,,,,POINT (-124.95624 44.37406),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.3,2017-07-27T23:37:00,16,220.391006,0,1.37,44.37406,-124.95624,2017-07-27T23:37:00,5000,2017-07-27T23:42:00,192.898,,,,7.3803,,3.444809,,33.6126,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-124.95624 44.37406),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.4,2017-07-28T19:06:26,0,550.835999,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:31:30,556.058,550.836,44.3743,-124.95018,5.4945,5.495,3.339645,3.339875,34.1355,34.1377,22.294072,314.021298,0.0653,12.4556,4.4428,7.554,,,,,,,,,,34.14,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.5,2017-07-28T19:06:26,0,401.492004,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:37:02,405.151,401.492,44.37432,-124.95022,6.2909,6.2901,3.398053,3.398187,34.0672,34.0695,38.197356,308.36248,0.0618,12.3453,4.567,7.581,,,,,,,,,,34.071,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.6,2017-07-28T19:06:26,0,202.395004,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:41:48,204.141,202.395,44.37432,-124.9502,7.2299,7.2302,3.465166,3.46542,33.9753,33.9777,59.17397,301.946235,0.0654,12.3744,4.5339,7.637,79.021041,,,,,,,,,33.98,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.7,2017-07-28T19:06:26,0,202.268997,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:41:27,204.014,202.269,44.37432,-124.95022,7.2294,7.2298,3.465126,3.465381,33.9753,33.9777,59.106981,301.949361,0.0671,12.3743,4.5339,7.636,84.790044,0.034,0.175,1.16,2.59,46.12,34.11,0.03,0.07,,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.8,2017-07-28T19:06:26,0,182.735992,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:43:02,184.303,182.736,44.37432,-124.9502,7.353,7.3533,3.474668,3.474925,33.9674,33.9699,63.028093,301.114227,0.0666,12.3622,4.5477,7.649,,0.04,0.143,1.21,2.57,46,33.59,0.02,0.03,,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.9,2017-07-28T19:06:26,0,142.679001,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:44:59,143.889,142.679,44.37432,-124.95022,7.637,7.6378,3.495622,3.495912,33.9362,33.9386,72.938059,299.23763,0.0986,12.3627,4.5472,7.668,,0.127,0.156,1.44,2.43,41.8,31.96,0.03,0.06,,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
fffe2293-19ad-55f4-83dd-1e97b5854063.10,2017-07-28T19:06:26,0,12.801,0,485.299988,44.37417,-124.95017,2017-07-28T19:06:26,5000,2017-07-28T19:54:24,12.906,12.801,44.3743,-124.9502,10.0804,10.0802,3.585444,3.58581,32.6429,32.6468,204.652617,285.808042,12.2,13.3762,3.5298,8.061,313.980317,,,,,,,,,,,,,,,,,,,,POINT (-124.95017 44.37417),ooi.ocdi.ocdi,Cabled-8_RR1713-RR1717_Discrete_Summary
